"id","lane","type","current text","approve (Y/N)","Eric's edit"
"truth:updown.chair","me/loved","truth","Strength {you} can reach from a wall is strength {you} will actually use.","",""
"truth:updown.floor","me/loved","truth","The floor stops being a worry when getting up from it is something {you} practice.","",""
"truth:updown.car","me/loved","truth","A movement {you} rehearse at home is a movement {you} stop thinking about in the parking lot.","",""
"truth:updown.stairs","me/loved","truth","Every flight of stairs is a set of single steps {you} already know how to do.","",""
"truth:steady.falling","me/loved","truth","Feeling steady comes from practicing being steady, with something to hold while {you} learn.","",""
"truth:steady.turning","me/loved","truth","Reaching gets steadier when {you} practice reaching, not when {you} avoid it.","",""
"truth:steady.outside","me/loved","truth","Uneven ground is easier for feet that have practiced shifting weight on purpose.","",""
"truth:steady.dressing","me/loved","truth","Standing on one foot is a small skill that quietly protects a lot of {your} day.","",""
"truth:reach.shelves","me/loved","truth","Reach comes back a row at a time when {you} have something to reach for.","",""
"truth:reach.hair","me/loved","truth","Small, daily reaches keep the shoulder ready for the small, daily things.","",""
"truth:reach.dressing","me/loved","truth","Getting dressed is a set of reaches, and every one of them can be practiced.","",""
"truth:reach.morning","me/loved","truth","A stiff shoulder wants slow motion, not rest, and the wall makes slow motion easy.","",""
"truth:stiff.mornings","me/loved","truth","Stiffness lifts fastest when the first movement of the day is slow and supported.","",""
"truth:stiff.sitting","me/loved","truth","The stiffness of sitting comes undone with the movement sitting took away.","",""
"truth:stiff.lowback","me/loved","truth","A back that moves a little every day stays a back that can move.","",""
"truth:stiff.hipsknees","me/loved","truth","Stiff hips and knees usually want more movement, not less, with something to hold.","",""
"truth:ahead.grandkids","me/loved","truth","Staying ahead means practicing the things {you} can still do, so {you} keep doing them.","",""
"truth:ahead.travel","me/loved","truth","A body that trains for the trip enjoys the trip.","",""
"truth:ahead.sport","me/loved","truth","The movements a sport neglects are the ones that end up deciding how long {you} play it.","",""
"truth:ahead.home","me/loved","truth","Independence at home rests on a handful of movements {you} can keep practicing.","",""
"truth:space.newloc","clinic","truth","Floor space is the first equipment decision a clinic makes.","",""
"truth:space.satellite","clinic","truth","A small clinic is not a compromise when the wall does the work.","",""
